中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.197.23.75,443,35.212.251.233,US,Seattle,隧道,38 ms,600 Mbps,76902 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,35 ms,1064 Mbps,136192 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,76 ms,393 Mbps,50380 kB/s
35.230.79.26,443,35.212.251.233,US,Seattle,隧道,46 ms,577 Mbps,73932 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,62 ms,816 Mbps,104448 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,56 ms,302 Mbps,38707 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,23 ms,920 Mbps,117760 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,30 ms,480 Mbps,61440 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,37 ms,642 Mbps,82227 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,34 ms,339 Mbps,43417 kB/s
3.144.191.4,443,3.144.191.4,US,Ashburn,中转,76 ms,360 Mbps,46182 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,68 ms,374 Mbps,47923 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,68 ms,6 Mbps,819 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,44 ms,458 Mbps,58675 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,174 ms,36 Mbps,4731 kB/s
34.82.76.253,443,34.83.158.48,US,Seattle,隧道,53 ms,547 Mbps,70041 kB/s
152.67.251.232,443,152.67.251.232,US,San Jose,中转,19 ms,864 Mbps,110592 kB/s
168.138.90.241,443,168.138.90.241,CA,Toronto,中转,77 ms,39 Mbps,5056 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,56 ms,35 Mbps,4533 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,55 ms,46 Mbps,5945 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,113 ms,202 Mbps,25907 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,44 ms,276 Mbps,35430 kB/s
194.36.24.34,443,2a0f:5707:fa21::1,US,San Jose,隧道,33 ms,1296 Mbps,165888 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,150 ms,151 Mbps,19353 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,162 ms,167 Mbps,21401 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,110 ms,46 Mbps,5978 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,198 ms,121 Mbps,15564 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,139 ms,3 Mbps,493 kB/s
130.162.144.191,443,2a09:bac5:4752:1482::20b:97,KR,Seoul,隧道,162 ms,38 Mbps,4877 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,80 ms,42 Mbps,5377 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,161 ms,15 Mbps,1969 kB/s
