中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.7.98,443,2a09:bac5:60ed:183c::26a:76,,colo.txt:Los Angeles,隧道,0 ms,78 Mbps,10035 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,93 ms,146 Mbps,18739 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,35 Mbps,4509 kB/s
35.230.79.26,443,35.185.254.49,US,Seattle,隧道,72 ms,275 Mbps,35225 kB/s
138.3.254.39,443,138.3.254.39,,colo.txt:Frankfurt,中转,0 ms,194 Mbps,24883 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,69 ms,19 Mbps,2437 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,91 ms,202 Mbps,25907 kB/s
47.90.228.243,443,47.90.228.243,US,Ashburn,中转,66 ms,45 Mbps,5834 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,15 ms,66 Mbps,8565 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,57 ms,317 Mbps,40652 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,23 ms,81 Mbps,10444 kB/s
150.136.61.148,443,2603:c020:4009:349a:e5b2:21c2:5db7:b3d3,US,Ashburn,隧道,59 ms,64 Mbps,8263 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,85 ms,285 Mbps,36556 kB/s
143.47.232.197,443,2a0b:21c0:100a:1f9:0:48d8:5f2c:635c,DE,Frankfurt,隧道,93 ms,104 Mbps,13414 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,52 ms,603 Mbps,77209 kB/s
141.144.203.231,443,2606:f240:f00:dd8d:0:c137:d659:db71,US,Frankfurt,隧道,90 ms,120 Mbps,15462 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,35 ms,528 Mbps,67686 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,79 ms,271 Mbps,34713 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,66 ms,347 Mbps,44441 kB/s
129.159.34.122,443,129.159.34.122,US,San Jose,中转,76 ms,27 Mbps,3481 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,72 ms,163 Mbps,20889 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,66 ms,90 Mbps,11571 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,67 ms,273 Mbps,35020 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,68 ms,276 Mbps,35430 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,125 ms,46 Mbps,5939 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,100 ms,45 Mbps,5861 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,94 ms,235 Mbps,30105 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,86 ms,215 Mbps,27545 kB/s
144.21.40.39,443,2606:f240:f00:b2ed:0:a05a:6a26:ad44,US,Frankfurt,隧道,90 ms,144 Mbps,18432 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,93 ms,236 Mbps,30208 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,157 ms,469 Mbps,60108 kB/s
130.61.170.78,443,130.61.170.78,DE,Paris,中转,165 ms,116 Mbps,14950 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,217 ms,44 Mbps,5644 kB/s
35.197.23.75,443,35.185.254.49,US,Seattle,隧道,71 ms,327 Mbps,41881 kB/s
132.226.31.178,443,2a09:bac1:76e0:e18::26b:3f,US,Los Angeles,隧道,93 ms,46 Mbps,5906 kB/s
129.146.220.190,443,2603:c020:b:c87e:e94d:56e:f44a:60ac,US,Los Angeles,隧道,98 ms,191 Mbps,24473 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,91 ms,219 Mbps,28057 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,98 ms,87 Mbps,11161 kB/s
47.89.151.17,443,47.89.151.17,US,Ashburn,中转,75 ms,39 Mbps,5054 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,84 ms,236 Mbps,30310 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,101 ms,58 Mbps,7493 kB/s
130.162.250.180,443,2603:c020:8014:a8ee:cad4:eb37:5749:cafa,DE,Frankfurt,隧道,91 ms,123 Mbps,15769 kB/s
129.146.168.102,443,104.28.205.110,US,Los Angeles,隧道,65 ms,41 Mbps,5363 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,80 ms,96 Mbps,12288 kB/s
130.61.222.184,443,130.61.222.184,DE,Frankfurt,中转,93 ms,216 Mbps,27648 kB/s
150.230.122.76,443,150.230.122.76,GB,London,中转,80 ms,242 Mbps,31027 kB/s
129.151.244.9,443,129.151.244.9,FR,Marseille,中转,91 ms,230 Mbps,29491 kB/s
144.22.252.124,443,144.22.252.124,BR,S
