中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,55 ms,416 Mbps,53248 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,27 ms,232 Mbps,29696 kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,40 ms,559 Mbps,71577 kB/s
18.216.55.100,443,18.216.55.100,US,Toronto,中转,56 ms,381 Mbps,48844 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,36 ms,1088 Mbps,139264 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,48 ms,457 Mbps,58572 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,21 ms,15 Mbps,2042 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,57 ms,49 Mbps,6378 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,17 ms,1144 Mbps,146432 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,45 ms,477 Mbps,61132 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,63 ms,544 Mbps,69734 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,118 ms,46 Mbps,5952 kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,37 ms,551 Mbps,70553 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,41 ms,546 Mbps,69939 kB/s
3.144.191.4,443,3.144.191.4,US,Toronto,中转,56 ms,284 Mbps,36454 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,59 Mbps,7612 kB/s
192.9.158.188,443,2a09:bac1:76c0:1cf0::4:2e1,US,San Jose,隧道,25 ms,20 Mbps,2654 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,152 ms,43 Mbps,5522 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,17 ms,840 Mbps,107520 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,78 ms,48 Mbps,6237 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,166 ms,502 Mbps,64307 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,148 ms,126 Mbps,16179 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,132 ms,41 Mbps,5248 kB/s
130.61.39.13,443,2603:c020:801c:9969:5536:e049:b1aa:bdf2,DE,Frankfurt,隧道,145 ms,124 Mbps,15974 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,140 ms,43 Mbps,5587 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,166 ms,0 Mbps,33 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,145 ms,124 Mbps,15974 kB/s
129.146.168.102,443,104.28.205.111,US,Los Angeles,隧道,66 ms,46 Mbps,5962 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,176 ms,3 Mbps,393 kB/s
144.24.178.230,443,2a0b:21c0:100a:1b4:0:a67e:ed94:bc85,DE,Frankfurt,隧道,145 ms,98 Mbps,12595 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,145 ms,190 Mbps,24371 kB/s
141.148.236.131,443,2606:f240:f00:2be4:0:c64b:4f4:fa41,US,Frankfurt,隧道,144 ms,129 Mbps,16588 kB/s
8.219.107.38,443,8.222.236.107,SG,Singapore,隧道,179 ms,67 Mbps,8619 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,145 ms,129 Mbps,16588 kB/s
140.238.212.95,443,140.238.212.95,CH,Zurich,中转,156 ms,42 Mbps,5479 kB/s
8.222.243.176,443,8.219.142.198,SG,Singapore,隧道,175 ms,48 Mbps,6185 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,145 ms,126 Mbps,16179 kB/s
140.238.33.161,443,2603:c021:8002:900:4858:eede:fd8a:dd52,JP,Tokyo,隧道,161 ms,100 Mbps,12800 kB/s
8.222.194.252,443,8.222.220.238,SG,Singapore,隧道,176 ms,83 Mbps,10649 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,184 ms,121 Mbps,15564 kB/s
152.70.248.96,443,2a09:bac1:3f20:90::22:110,KR,Seoul,隧道,140 ms,4 Mbps,566 kB/s
138.2.123.70,443,138.2.123.70,KR,Seoul,中转,132 ms,121 Mbps,15564 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,170 ms,41 Mbps,5338 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,160 ms,59 Mbps,7604 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,134 ms,145 Mbps,18636 kB/s
8.222.241.35,443,47.245.125.52,SG,Singapore,隧道,179 ms,88 Mbps,11264 kB/s
152.67.102.137,443,152.67.102.137,AU,Sydney,中转,151 ms,43 Mbps,5618 kB/s
129.154.59.99,443,129.154.59.99,KR,Seoul,中转,132 ms,48 Mbps,6193 kB/s
143.47.235.105,443,2a0b:21c0:1007:1c7:0:aa06:2b97:eff6,DE,Frankfurt,隧道,160 ms,127 Mbps,16281 kB/s
158.178.238.239,443,158.178.238.239,SG,Singapore,中转,174 ms,38 Mbps,4902 kB/s
8.222.254.125,443,47.236.51.143,SG,Singapore,隧道,179 ms,96 Mbps,12288 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,137 ms,133 Mbps,17100 kB/s
144.21.32.0,443,2a0b:21c0:1007:1ca:0:4b96:62cd:e066,DE,Frankfurt,隧道,143 ms,124 Mbps,15872 kB/s
193.122.117.159,443,193.122.117.159,KR,Seoul,中转,289 ms,43 Mbps,5524 kB/s
141.147.40.199,443,2a0b:21c0:1007:1c7:0:7c2a:d9fa:165a,DE,Frankfurt,隧道,145 ms,120 Mbps,15462 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,144 ms,119 Mbps,15257 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,178 ms,44 Mbps,5643 kB/s
141.144.233.112,443,2a0b:21c0:100a:1b1:0:3eea:b0ee:4b5,DE,Frankfurt,隧道,326 ms,121 Mbps,15564 kB/s
8.222.196.91,443,8.222.236.107,SG,Singapore,隧道,175 ms,40 Mbps,5141 kB/s
141.147.147.180,443,141.147.147.180,JP,Osaka,中转,161 ms,38 Mbps,4972 kB/s
141.147.4.151,443,2a0b:21c0:1007:c8:0:c671:8939:6536,DE,Frankfurt,隧道,145 ms,120 Mbps,15360 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,136 ms,124 Mbps,15872 kB/s
8.222.158.41,443,47.236.58.234,SG,Singapore,隧道,175 ms,50 Mbps,6524 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,144 ms,28 Mbps,3624 kB/s
8.222.245.223,443,8.222.207.55,SG,Singapore,隧道,180 ms,60 Mbps,7784 kB/s
