中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,1 ms,152 Mbps,19456 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,44 ms,594 Mbps,76083 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,81 ms,13 Mbps,1783 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,77 ms,336 Mbps,43008 kB/s
35.230.79.26,443,35.212.251.233,US,Seattle,隧道,66 ms,352 Mbps,45158 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,40 ms,44 Mbps,5709 kB/s
35.197.23.75,443,35.212.251.233,US,Seattle,隧道,84 ms,359 Mbps,45977 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,7 ms,80 Mbps,10342 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,75 ms,77 Mbps,9972 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,78 ms,308 Mbps,39526 kB/s
3.144.191.4,443,3.144.191.4,US,Ashburn,中转,26 ms,754 Mbps,96563 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,97 ms,248 Mbps,31846 kB/s
34.82.76.253,443,34.83.158.48,US,Seattle,隧道,80 ms,368 Mbps,47206 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,98 ms,289 Mbps,37068 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,81 ms,292 Mbps,37478 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,61 ms,423 Mbps,54169 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,12 ms,207 Mbps,26521 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,1 ms,77 Mbps,9880 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,49 ms,715 Mbps,91545 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,104 ms,497 Mbps,63692 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,78 ms,244 Mbps,31232 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,104 ms,45 Mbps,5764 kB/s
143.47.245.250,443,2a0b:21c0:100a:1b1:0:183c:7da3:2697,DE,Frankfurt,隧道,104 ms,223 Mbps,28569 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,56 ms,6 Mbps,791 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,109 ms,232 Mbps,29798 kB/s
138.2.141.3,443,2606:f240:f00:2be4:0:aed0:c76a:4d34,US,Frankfurt,隧道,99 ms,217 Mbps,27852 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,81 ms,41 Mbps,5295 kB/s
144.22.252.124,443,144.22.252.124,BR,S
