中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.23.254.51,443,198.23.254.51,US,San Jose,中转,19 ms,667 Mbps,85401 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,56 ms,364 Mbps,46592 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,20 ms,700 Mbps,89702 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,38 ms,543 Mbps,69529 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,37 ms,547 Mbps,70041 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,56 ms,368 Mbps,47104 kB/s
192.9.138.241,443,192.9.138.241,,colo.txt:San Jose,中转,0 ms,984 Mbps,125952 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,18 ms,63 Mbps,8091 kB/s
132.226.31.178,443,2a09:bac5:60ec:78::c:32b,US,Los Angeles,隧道,17 ms,57 Mbps,7363 kB/s
129.146.7.98,443,2a09:bac5:60ef:1173::1bd:d2,US,Los Angeles,隧道,19 ms,54 Mbps,6937 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,58 ms,508 Mbps,65126 kB/s
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,37 ms,540 Mbps,69120 kB/s
165.1.74.145,443,165.1.74.145,US,San Jose,中转,16 ms,1208 Mbps,154624 kB/s
152.70.117.174,443,152.70.117.174,US,San Jose,中转,89 ms,1168 Mbps,149504 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,21 ms,1144 Mbps,146432 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,29 ms,984 Mbps,125952 kB/s
47.89.151.17,443,47.89.151.17,US,Ashburn,中转,66 ms,28 Mbps,3648 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,,colo.txt:Los Angeles,隧道,0 ms,74 Mbps,9474 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,146 ms,129 Mbps,16588 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,56 ms,394 Mbps,50483 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,89 ms,173 Mbps,22220 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,109 ms,172 Mbps,22118 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,143 ms,131 Mbps,16793 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,140 ms,43 Mbps,5579 kB/s
130.162.143.219,443,130.162.143.219,KR,Seoul,中转,189 ms,41 Mbps,5352 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,132 ms,127 Mbps,16281 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,149 ms,125 Mbps,16076 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,81 ms,356 Mbps,45568 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,185 ms,14 Mbps,1861 kB/s
192.18.134.22,443,192.18.134.22,US,San Jose,中转,22 ms,1024 Mbps,131072 kB/s
140.238.23.148,443,2a09:bac5:4750:1a14::299:4f,KR,Seoul,隧道,142 ms,41 Mbps,5369 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,142 ms,135 Mbps,17305 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,134 ms,69 Mbps,8917 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,136 ms,132 Mbps,16896 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,133 ms,132 Mbps,16998 kB/s
138.2.51.87,443,138.2.51.87,JP,Osaka,中转,157 ms,40 Mbps,5240 kB/s
152.70.88.98,443,2a09:bac5:4751:1482::20b:7f,KR,Seoul,隧道,150 ms,41 Mbps,5282 kB/s
146.56.102.118,443,2602:ffe4:407:20d9:0:cf1a:71f:f5cd,SG,Singapore,隧道,191 ms,80 Mbps,10342 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,65 ms,335 Mbps,42905 kB/s
144.22.252.124,443,144.22.252.124,BR,S
