中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
23.94.43.51,443,23.94.43.51,US,Seattle,中转,57 ms,525 Mbps,67276 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,26 ms,130 Mbps,16691 kB/s
129.146.7.98,443,2a09:bac5:60ec:183c::26a:85,US,Los Angeles,隧道,29 ms,54 Mbps,6937 kB/s
35.230.79.26,443,35.212.156.18,US,Seattle,隧道,42 ms,636 Mbps,81510 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,23 ms,496 Mbps,63590 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,62 ms,327 Mbps,41881 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,28 ms,719 Mbps,92057 kB/s
34.82.76.253,443,34.168.86.105,US,Seattle,隧道,41 ms,563 Mbps,72089 kB/s
35.197.23.75,443,35.212.156.18,US,Seattle,隧道,44 ms,620 Mbps,79462 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,65 ms,390 Mbps,49971 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,31 ms,320 Mbps,40960 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,143 ms,89 Mbps,11468 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,21 ms,54 Mbps,6994 kB/s
192.9.146.103,443,192.9.146.103,US,Salt Lake City,中转,20 ms,800 Mbps,102400 kB/s
192.18.134.231,443,192.18.134.231,US,Portland,中转,30 ms,456 Mbps,58470 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,119 ms,203 Mbps,26009 kB/s
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,24 ms,605 Mbps,77516 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,60 ms,44 Mbps,5735 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,62 ms,445 Mbps,57036 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,159 ms,158 Mbps,20275 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,148 ms,132 Mbps,16998 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,67 ms,51 Mbps,6600 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,161 ms,116 Mbps,14950 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,161 ms,177 Mbps,22732 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,148 ms,39 Mbps,5051 kB/s
47.90.141.204,443,91.149.239.252,US,Los Angeles,隧道,75 ms,29 Mbps,3812 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,164 ms,2 Mbps,288 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,152 ms,137 Mbps,17612 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,161 ms,209 Mbps,26828 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,134 ms,47 Mbps,6108 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,Seattle,隧道,113 ms,186 Mbps,23859 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,164 ms,150 Mbps,19251 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:105,KR,Seoul,隧道,172 ms,124 Mbps,15974 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,191 ms,3 Mbps,428 kB/s
141.144.204.88,443,98.98.156.34,DE,Frankfurt,隧道,144 ms,147 Mbps,18841 kB/s
193.122.102.181,443,217.142.144.225,KR,Seoul,隧道,154 ms,132 Mbps,16998 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,173 ms,15 Mbps,1926 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,177 ms,114 Mbps,14643 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,202 ms,42 Mbps,5384 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,176 ms,38 Mbps,4959 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,159 ms,63 Mbps,8066 kB/s
193.122.62.253,443,2a0b:21c0:100a:1b2:0:fa58:1028:6788,DE,Frankfurt,隧道,149 ms,89 Mbps,11468 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,149 ms,41 Mbps,5360 kB/s
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,188 ms,41 Mbps,5299 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,148 ms,120 Mbps,15462 kB/s
130.162.144.191,443,2a09:bac1:3f40::299:35,KR,Seoul,隧道,159 ms,31 Mbps,4043 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,163 ms,29 Mbps,3804 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,184 ms,48 Mbps,6167 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,182 ms,4 Mbps,550 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,185 ms,44 Mbps,5699 kB/s
168.138.149.17,443,168.138.149.17,BR,S
