中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,62 ms,306 Mbps,39219 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,51 ms,426 Mbps,54579 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,18 ms,712 Mbps,91238 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,47 ms,464 Mbps,59494 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,39 ms,512 Mbps,65638 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,,Los Angeles,隧道,0 ms,40 Mbps,5192 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,51 ms,471 Mbps,60313 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,51 ms,424 Mbps,54374 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,16 ms,50 Mbps,6440 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,49 ms,8 Mbps,1097 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,38 ms,434 Mbps,55603 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,58 ms,375 Mbps,48025 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,15 ms,7 Mbps,925 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,109 ms,42 Mbps,5469 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,75 ms,86 Mbps,11059 kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,110 ms,461 Mbps,59084 kB/s
129.80.222.224,443,129.80.222.224,US,Ashburn,中转,90 ms,328 Mbps,42086 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,97 ms,201 Mbps,25804 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,137 ms,404 Mbps,51712 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,110 ms,152 Mbps,19558 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,101 ms,44 Mbps,5716 kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,61 ms,444 Mbps,56832 kB/s
140.238.126.249,443,2a0b:21c0:100a:1b2:0:3cbf:2a47:28da,DE,Frankfurt,隧道,109 ms,96 Mbps,12390 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,123 ms,352 Mbps,45158 kB/s
129.146.168.102,443,104.28.237.112,US,Los Angeles,隧道,127 ms,38 Mbps,4977 kB/s
132.226.31.178,443,2a09:bac5:60ec:183c::26a:90,US,Los Angeles,隧道,120 ms,46 Mbps,6015 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,34 ms,91 Mbps,11673 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,119 ms,41 Mbps,5344 kB/s
193.123.58.34,443,2a0b:21c0:100a:1b1:0:7dd7:e5ed:ba33,DE,Frankfurt,隧道,108 ms,180 Mbps,23142 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,113 ms,177 Mbps,22732 kB/s
192.9.158.188,443,2a09:bac1:7680:1cf0::1d2:58,US,San Jose,隧道,63 ms,101 Mbps,13004 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,56 ms,400 Mbps,51302 kB/s
129.146.60.210,443,129.146.60.210,US,Los Angeles,中转,49 ms,393 Mbps,50380 kB/s
144.21.41.136,443,2a0b:21c0:1007:1cb:0:d45a:d6f7:18e8,DE,Frankfurt,隧道,109 ms,168 Mbps,21504 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,98 ms,18 Mbps,2390 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,111 ms,170 Mbps,21811 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,140 ms,186 Mbps,23859 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,111 ms,168 Mbps,21504 kB/s
138.2.123.70,443,138.2.123.70,KR,Seoul,中转,168 ms,82 Mbps,10547 kB/s
152.70.46.37,443,2a0b:21c0:1007:1ca:0:e6d9:689b:f44f,DE,Frankfurt,隧道,113 ms,165 Mbps,21196 kB/s
152.70.56.107,443,2606:f240:f00:dd8d:0:6637:5218:a18a,US,Frankfurt,隧道,108 ms,100 Mbps,12800 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,179 ms,112 Mbps,14336 kB/s
