中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,94 ms,257 Mbps,32972 kB/s
129.146.7.98,443,2a09:bac5:60ec:1173::1bd:fd,US,Los Angeles,隧道,64 ms,88 Mbps,11264 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,24 ms,70 Mbps,9069 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,37 ms,648 Mbps,83046 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,75 ms,383 Mbps,49049 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,84 ms,252 Mbps,32358 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,79 ms,324 Mbps,41574 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,95 ms,42 Mbps,5466 kB/s
193.123.34.7,443,2a0b:21c0:1007:1ca:0:f3c2:dd8b:d28b,DE,Frankfurt,隧道,92 ms,249 Mbps,31948 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,51 ms,816 Mbps,104448 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,92 ms,277 Mbps,35532 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,83 ms,190 Mbps,24371 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,90 ms,226 Mbps,28979 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,77 ms,226 Mbps,28979 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,75 ms,46 Mbps,5944 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,106 ms,300 Mbps,38502 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,52 ms,108 Mbps,13824 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,67 ms,408 Mbps,52326 kB/s
144.21.35.132,443,209.177.81.218,DE,Frankfurt,隧道,93 ms,252 Mbps,32358 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,102 ms,47 Mbps,6021 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,108 ms,173 Mbps,22220 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,89 ms,49 Mbps,6324 kB/s
168.138.149.17,443,168.138.149.17,BR,S
