中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.197.23.75,443,35.212.224.237,US,Seattle,隧道,29 ms,944 Mbps,120832 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,10 ms,2032 Mbps,260096 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,32 ms,38 Mbps,4901 kB/s
35.230.79.26,443,35.212.224.237,US,Seattle,隧道,35 ms,832 Mbps,106496 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,3 ms,1960 Mbps,250880 kB/s
34.82.76.253,443,104.198.8.26,US,Seattle,隧道,32 ms,976 Mbps,124928 kB/s
132.226.31.178,443,2a09:bac5:60eb:78::c:347,US,Los Angeles,隧道,18 ms,54 Mbps,6970 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,49 ms,307 Mbps,39321 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,22 ms,70 Mbps,9006 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,61 ms,390 Mbps,49971 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,65 ms,339 Mbps,43417 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,3 ms,10 Mbps,1330 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,29 ms,699 Mbps,89497 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,9 ms,708 Mbps,90726 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,83 ms,47 Mbps,6087 kB/s
154.23.240.232,443,154.23.240.232,US,Los Angeles,中转,11 ms,19 Mbps,2550 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,175 ms,156 Mbps,20070 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,24 ms,2 Mbps,295 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,67 ms,6 Mbps,872 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,86 ms,338 Mbps,43315 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,133 ms,132 Mbps,16896 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,139 ms,152 Mbps,19456 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,115 ms,229 Mbps,29388 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,150 ms,45 Mbps,5880 kB/s
146.56.46.84,443,2603:c022:8007:a810::dcba,KR,Seoul,隧道,173 ms,46 Mbps,5989 kB/s
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,156 ms,42 Mbps,5418 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,177 ms,111 Mbps,14233 kB/s
130.61.23.77,443,130.61.23.77,131 Mbps,16793 kB/s
141.148.243.63,443,2a0b:21c0:1007:c8:0:8ef2:e3cc:260e,DE,Frankfurt,隧道,161 ms,88 Mbps,11264 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,171 ms,117 Mbps,15052 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,167 ms,148 Mbps,19046 kB/s
144.21.62.141,443,2a0b:21c0:1007:1ca:0:fab8:1157:2d85,DE,Frankfurt,隧道,178 ms,103 Mbps,13209 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,89 ms,43 Mbps,5600 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,192 ms,3 Mbps,419 kB/s
138.2.122.191,443,138.2.122.191,KR,Seoul,中转,144 ms,41 Mbps,5367 kB/s
64.110.66.180,443,107.151.176.202,US,Los Angeles,隧道,164 ms,135 Mbps,17305 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,149 ms,123 Mbps,15769 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,119 ms,47 Mbps,6082 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,87 ms,47 Mbps,6138 kB/s
8.222.77.212,443,8.216.92.214,JP,Tokyo,隧道,116 ms,5 Mbps,747 kB/s
158.180.65.145,443,2603:c024:e:6666::6666,KR,Seoul,隧道,141 ms,36 Mbps,4702 kB/s
132.145.116.185,443,132.145.116.185,JP,Tokyo,中转,165 ms,37 Mbps,4792 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,157 ms,102 Mbps,13107 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,169 ms,104 Mbps,13312 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,184 ms,3 Mbps,480 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,49 ms,768 Mbps,98304 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,170 ms,106 Mbps,13619 kB/s
47.91.18.127,443,47.91.18.127,JP,Tokyo,中转,151 ms,188 Mbps,24064 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,150 ms,0 Mbps,100 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,25 ms,840 Mbps,107520 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,189 ms,45 Mbps,5793 kB/s
146.56.151.242,443,2607:a400:a:6c:0:9a36:e299:401c,US,Los Angeles,隧道,185 ms,100 Mbps,12902 kB/s
193.122.125.223,443,193.122.125.223,KR,Seoul,中转,141 ms,124 Mbps,15974 kB/s
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,163 ms,37 Mbps,4753 kB/s
193.122.120.61,443,107.151.176.166,US,Los Angeles,隧道,199 ms,90 Mbps,11571 kB/s
193.122.104.244,443,107.151.176.166,US,Los Angeles,隧道,186 ms,147 Mbps,18841 kB/s
130.162.135.233,443,2607:a400:a:6c:0:4338:5287:1235,US,Los Angeles,隧道,174 ms,116 Mbps,14950 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,175 ms,28 Mbps,3646 kB/s
8.213.237.199,443,8.213.237.199,TH,Bangkok,中转,223 ms,81 Mbps,10444 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,160 ms,100 Mbps,12800 kB/s
193.122.99.160,443,2607:a400:a:6b:0:9d0c:a97d:2565,US,Los Angeles,隧道,141 ms,133 Mbps,17100 kB/s
146.56.134.94,443,2607:a400:a:16b:0:9941:a49c:98d0,US,Los Angeles,隧道,171 ms,103 Mbps,13209 kB/s
152.70.251.80,443,2607:a400:a:6c:0:8fce:12cf:1248,US,Los Angeles,隧道,173 ms,93 Mbps,11980 kB/s
132.226.226.56,443,2607:a400:a:16b:0:a4c:3a2e:4a20,US,Los Angeles,隧道,202 ms,94 Mbps,12083 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,212 ms,37 Mbps,4822 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,174 ms,38 Mbps,4866 kB/s
141.147.72.42,443,2606:f240:f00:a683:0:c883:53ad:764e,US,Frankfurt,隧道,160 ms,106 Mbps,13619 kB/s
146.56.39.157,443,2607:a400:a:16b:0:b777:8c2b:c5e4,US,Los Angeles,隧道,143 ms,123 Mbps,15769 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,176 ms,41 Mbps,5261 kB/s
140.238.20.223,443,2607:a400:a:6b:0:d185:310b:6215,US,Los Angeles,隧道,155 ms,148 Mbps,18944 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,193 ms,46 Mbps,5972 kB/s
8.219.122.111,443,8.219.96.61,SG,Singapore,隧道,255 ms,49 Mbps,6374 kB/s
8.219.118.152,443,47.236.51.143,SG,Singapore,隧道,277 ms,50 Mbps,6465 kB/s
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,241 ms,33 Mbps,4257 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,242 ms,35 Mbps,4564 kB/s
8.219.91.179,443,8.222.210.246,SG,Singapore,隧道,299 ms,44 Mbps,5663 kB/s
8.222.192.216,443,47.245.125.52,SG,Singapore,隧道,287 ms,45 Mbps,5763 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,193 ms,20 Mbps,2649 kB/s
8.219.218.214,443,47.245.84.175,SG,Singapore,隧道,256 ms,44 Mbps,5744 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,193 ms,38 Mbps,4885 kB/s
8.222.78.35,443,8.216.92.214,JP,Tokyo,隧道,120 ms,7 Mbps,920 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,286 ms,66 Mbps,8461 kB/s
8.212.48.236,443,47.76.21.97,HK,Hong Kong,隧道,275 ms,61 Mbps,7813 kB/s
152.70.246.254,443,2607:a400:a:6c:0:6f83:e599:15fe,US,Los Angeles,隧道,177 ms,96 Mbps,12288 kB/s
8.219.3.225,443,8.222.236.107,SG,Singapore,隧道,271 ms,44 Mbps,5712 kB/s
144.22.252.124,443,144.22.252.124,BR,S
