中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.139.160,443,192.9.139.160,US,San Jose,中转,58 ms,421 Mbps,53964 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,57 ms,405 Mbps,51916 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,56 ms,509 Mbps,65228 kB/s
47.90.141.204,443,91.149.239.252,US,Los Angeles,隧道,27 ms,36 Mbps,4703 kB/s
130.61.23.77,443,130.61.23.77,,colo.txt:Frankfurt,中转,0 ms,187 Mbps,23961 kB/s
35.197.23.75,443,35.212.191.179,US,Seattle,隧道,73 ms,512 Mbps,65638 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,21 ms,695 Mbps,88985 kB/s
34.82.76.253,443,34.83.80.46,US,Seattle,隧道,68 ms,521 Mbps,66764 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,33 ms,751 Mbps,96153 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,71 ms,524 Mbps,67072 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,112 ms,184 Mbps,23552 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,136 ms,49 Mbps,6289 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,11 ms,524 Mbps,67072 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,54 ms,42 Mbps,5380 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,43 ms,48 Mbps,6227 kB/s
35.230.79.26,443,35.212.191.179,US,Seattle,隧道,51 ms,474 Mbps,60723 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,63 ms,357 Mbps,45772 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,18 ms,7 Mbps,968 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,110 ms,198 Mbps,25395 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,116 ms,27 Mbps,3559 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,77 ms,328 Mbps,42086 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,143 ms,234 Mbps,30003 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,106 ms,40 Mbps,5182 kB/s
146.56.129.186,443,146.56.129.186,KR,Seoul,中转,198 ms,73 Mbps,9460 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,72 ms,420 Mbps,53862 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,148 ms,152 Mbps,19456 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,209 ms,42 Mbps,5448 kB/s
130.61.169.24,443,130.61.169.24,DE,Frankfurt,中转,130 ms,178 Mbps,22835 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,125 ms,197 Mbps,25292 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,118 ms,47 Mbps,6082 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,126 ms,252 Mbps,32358 kB/s
192.9.146.103,443,192.9.146.103,US,San Jose,中转,69 ms,404 Mbps,51712 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,122 ms,1 Mbps,191 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,206 ms,12 Mbps,1567 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,111 ms,183 Mbps,23449 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,65 ms,48 Mbps,6238 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,112 ms,42 Mbps,5453 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,148 ms,121 Mbps,15564 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,124 ms,53 Mbps,6829 kB/s
8.212.44.95,443,47.76.21.97,HK,Hong Kong,隧道,219 ms,87 Mbps,11161 kB/s
152.70.71.23,443,152.70.71.23,IN,Marseille,中转,274 ms,27 Mbps,3471 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,200 ms,85 Mbps,10956 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,244 ms,42 Mbps,5380 kB/s
8.219.197.123,443,8.222.236.107,SG,Singapore,隧道,247 ms,43 Mbps,5539 kB/s
8.219.195.94,443,8.219.66.146,SG,Singapore,隧道,229 ms,72 Mbps,9331 kB/s
130.162.135.9,443,130.162.135.9,KR,Seoul,中转,215 ms,41 Mbps,5375 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,96 ms,476 Mbps,61030 kB/s
8.219.118.97,443,8.219.142.198,SG,Singapore,隧道,243 ms,28 Mbps,3666 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,224 ms,1 Mbps,210 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,233 ms,66 Mbps,8508 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,215 ms,2 Mbps,357 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:105,KR,Seoul,隧道,215 ms,83 Mbps,10649 kB/s
8.219.192.155,443,47.245.114.12,SG,Singapore,隧道,249 ms,22 Mbps,2915 kB/s
130.162.144.191,443,2a09:bac5:4734:1a14::299:29,KR,Seoul,隧道,216 ms,34 Mbps,4409 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,171 ms,139 Mbps,17817 kB/s
8.219.86.116,443,47.245.127.33,SG,Singapore,隧道,238 ms,51 Mbps,6562 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,114 ms,51 Mbps,6597 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,Seattle,隧道,248 ms,57 Mbps,7305 kB/s
64.110.89.92,443,64.110.89.92,KR,Seoul,中转,229 ms,43 Mbps,5595 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,217 ms,84 Mbps,10752 kB/s
158.101.212.88,443,2a0b:21c0:1007:1c7:0:6eaa:e907:912e,DE,Frankfurt,隧道,116 ms,196 Mbps,25088 kB/s
158.101.141.253,443,158.101.141.253,JP,Tokyo,中转,241 ms,6 Mbps,815 kB/s
8.219.116.162,443,8.219.66.146,SG,Singapore,隧道,225 ms,12 Mbps,1545 kB/s
47.57.188.84,443,47.236.212.18,SG,Singapore,隧道,199 ms,118 Mbps,15155 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,223 ms,38 Mbps,4893 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,178 ms,100 Mbps,12902 kB/s
