中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
34.82.76.253,443,104.198.8.26,US,Seattle,隧道,22 ms,960 Mbps,122880 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,32 ms,59 Mbps,7669 kB/s
129.146.7.98,443,2a09:bac1:76e0:e18::26a:77,US,Los Angeles,隧道,58 ms,92 Mbps,11776 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,8 ms,688 Mbps,88064 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,52 ms,412 Mbps,52838 kB/s
35.197.23.75,443,35.212.152.202,US,Seattle,隧道,34 ms,960 Mbps,122880 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,4 ms,2448 Mbps,313344 kB/s
35.230.79.26,443,35.212.152.202,US,Seattle,隧道,27 ms,648 Mbps,82944 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,22 ms,436 Mbps,55808 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,60 ms,380 Mbps,48640 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,15 ms,1696 Mbps,217088 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,66 ms,364 Mbps,46694 kB/s
129.80.222.224,443,129.80.222.224,US,Ashburn,中转,82 ms,290 Mbps,37171 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,114 ms,220 Mbps,28262 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,51 ms,631 Mbps,80793 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,67 ms,424 Mbps,54374 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,62 ms,463 Mbps,59289 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,44 ms,64 Mbps,8251 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,166 ms,44 Mbps,5708 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,153 ms,172 Mbps,22016 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,166 ms,147 Mbps,18841 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,135 ms,136 Mbps,17408 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,137 ms,88 Mbps,11264 kB/s
47.90.141.204,443,91.149.239.122,US,Los Angeles,隧道,101 ms,31 Mbps,4071 kB/s
132.226.31.178,443,2a09:bac5:60ea:1173::1bd:10f,US,Los Angeles,隧道,20 ms,53 Mbps,6895 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,93 ms,37 Mbps,4752 kB/s
193.122.127.166,443,2607:a400:a:6c:0:4d2d:c359:5293,US,Los Angeles,隧道,142 ms,124 Mbps,15974 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,179 ms,3 Mbps,394 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,136 ms,129 Mbps,16588 kB/s
130.162.166.152,443,98.98.156.10,DE,Frankfurt,隧道,178 ms,101 Mbps,13004 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,88 ms,43 Mbps,5564 kB/s
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,162 ms,120 Mbps,15360 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,136 ms,133 Mbps,17100 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,152 ms,112 Mbps,14336 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,151 ms,125 Mbps,16076 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,164 ms,30 Mbps,3958 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,136 ms,51 Mbps,6628 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,191 ms,131 Mbps,16793 kB/s
146.56.101.141,443,146.56.101.141,KR,Seoul,中转,148 ms,21 Mbps,2738 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,164 ms,111 Mbps,14233 kB/s
168.138.165.169,443,168.138.165.169,SG,Singapore,中转,168 ms,41 Mbps,5371 kB/s
152.70.160.138,443,2a0b:21c0:100a:1f9:0:ea0b:20fd:a877,DE,Frankfurt,隧道,172 ms,108 Mbps,13926 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,159 ms,121 Mbps,15564 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,174 ms,45 Mbps,5829 kB/s
64.110.72.204,443,2607:a400:a:6b:0:1b5b:f796:1523,US,Los Angeles,隧道,171 ms,141 Mbps,18124 kB/s
64.110.79.188,443,64.110.79.188,KR,Seoul,中转,137 ms,132 Mbps,16896 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,168 ms,21 Mbps,2695 kB/s
8.213.237.199,443,8.213.237.199,TH,Bangkok,中转,209 ms,79 Mbps,10137 kB/s
146.56.157.186,443,107.151.176.202,US,Los Angeles,隧道,153 ms,129 Mbps,16588 kB/s
152.67.249.123,443,152.67.249.123,US,San Jose,中转,35 ms,928 Mbps,118784 kB/s
8.212.169.2,443,8.212.169.2,PH,Cebu,中转,217 ms,82 Mbps,10547 kB/s
8.219.223.57,443,47.236.58.234,SG,Singapore,隧道,261 ms,50 Mbps,6465 kB/s
8.219.112.192,443,8.222.210.246,SG,Singapore,隧道,299 ms,51 Mbps,6566 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,177 ms,42 Mbps,5421 kB/s
141.148.236.118,443,2a0b:21c0:100a:1b3:0:183a:e857:8d3e,DE,Frankfurt,隧道,215 ms,114 Mbps,14643 kB/s
8.219.133.206,443,47.236.58.234,SG,Singapore,隧道,278 ms,31 Mbps,4094 kB/s
132.145.250.52,443,2a0b:21c0:1007:cb:0:3e25:5cb:9134,DE,Frankfurt,隧道,182 ms,103 Mbps,13209 kB/s
146.56.164.39,443,2607:a400:a:6b:0:5a16:c704:82b7,US,Los Angeles,隧道,184 ms,124 Mbps,15872 kB/s
8.219.251.139,443,8.222.220.238,SG,Singapore,隧道,270 ms,42 Mbps,5409 kB/s
8.222.165.104,443,8.222.165.104,SG,Singapore,中转,292 ms,0 Mbps,122 kB/s
193.123.56.200,443,2a0b:21c0:1007:1c7:0:490a:33a8:a93,DE,Frankfurt,隧道,216 ms,112 Mbps,14336 kB/s
192.9.158.188,443,2a09:bac1:76a0:1cf0::1d3:98,US,San Jose,隧道,48 ms,205 Mbps,26316 kB/s
