中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,10 ms,205 Mbps,26316 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,88 ms,36 Mbps,4626 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,48 ms,525 Mbps,67276 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,58 ms,0 Mbps,36 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,85 ms,281 Mbps,36044 kB/s
35.230.79.26,443,35.212.227.11,US,Seattle,隧道,97 ms,373 Mbps,47820 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,40 ms,470 Mbps,60211 kB/s
47.90.141.204,443,91.149.239.72,US,Los Angeles,隧道,8 ms,33 Mbps,4234 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,1 ms,207 Mbps,26521 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,93 ms,164 Mbps,20992 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,49 ms,0 Mbps,89 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,76 ms,296 Mbps,37888 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,117 ms,27 Mbps,3479 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,61 ms,158 Mbps,20275 kB/s
34.82.76.253,443,34.83.158.48,US,Seattle,隧道,115 ms,304 Mbps,39014 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,79 ms,300 Mbps,38400 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,28 ms,59 Mbps,7589 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,79 ms,118 Mbps,15155 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,105 ms,26 Mbps,3435 kB/s
35.197.23.75,443,35.212.227.11,US,Seattle,隧道,75 ms,383 Mbps,49049 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,165 ms,112 Mbps,14336 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,85 ms,292 Mbps,37376 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,109 ms,14 Mbps,1900 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,45 ms,88 Mbps,11264 kB/s
144.24.252.15,443,144.24.252.15,CH,Zurich,中转,115 ms,47 Mbps,6122 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,122 ms,21 Mbps,2697 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,119 ms,213 Mbps,27340 kB/s
144.22.252.124,443,144.22.252.124,BR,S
