中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,48 ms,473 Mbps,60620 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,54 ms,309 Mbps,39628 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,17 ms,1216 Mbps,155648 kB/s
140.238.212.95,443,140.238.212.95,CH,Zurich,中转,113 ms,36 Mbps,4722 kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,51 ms,460 Mbps,58880 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,52 ms,46 Mbps,5893 kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,58 ms,450 Mbps,57651 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,51 ms,471 Mbps,60313 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,101 ms,192 Mbps,24678 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,28 ms,104 Mbps,13312 kB/s
138.3.254.39,443,138.3.254.39,,Frankfurt,中转,0 ms,157 Mbps,20172 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,74 ms,640 Mbps,82022 kB/s
192.9.138.241,443,192.9.138.241,,San Jose,中转,0 ms,400 Mbps,51302 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,60 ms,412 Mbps,52838 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,18 ms,532 Mbps,68096 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,49 ms,383 Mbps,49049 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,130 ms,1 Mbps,212 kB/s
158.101.24.17,443,158.101.24.17,US,Los Angeles,中转,44 ms,48 Mbps,6225 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,65 ms,1 Mbps,211 kB/s
141.147.4.99,443,2a0b:21c0:100a:1fa:0:9d58:7966:ca66,DE,Frankfurt,隧道,110 ms,103 Mbps,13209 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,96 ms,96 Mbps,12390 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,101 ms,2 Mbps,379 kB/s
129.146.168.102,443,2a09:bac5:60ee:1173::1bd:ee,US,Los Angeles,隧道,48 ms,46 Mbps,5968 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,130 ms,180 Mbps,23040 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,56 ms,252 Mbps,32256 kB/s
129.80.222.224,443,129.80.222.224,US,Ashburn,中转,67 ms,343 Mbps,43929 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,44 ms,42 Mbps,5444 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,111 ms,181 Mbps,23244 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,109 ms,45 Mbps,5808 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,109 ms,176 Mbps,22630 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,105 ms,468 Mbps,59904 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,44 ms,500 Mbps,64102 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,181 ms,102 Mbps,13107 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,65 ms,7 Mbps,900 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,44 ms,56 Mbps,7223 kB/s
146.56.101.141,443,146.56.101.141,KR,Seoul,中转,166 ms,37 Mbps,4805 kB/s
152.70.40.141,443,2a0b:21c0:100a:1b1:0:1ca:899d:ea8d,DE,Frankfurt,隧道,150 ms,93 Mbps,11980 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,149 ms,46 Mbps,6013 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,67 ms,419 Mbps,53657 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,143 ms,118 Mbps,15155 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,53 ms,435 Mbps,55705 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,101 ms,185 Mbps,23756 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:11b,KR,Seoul,隧道,188 ms,81 Mbps,10444 kB/s
140.238.23.148,443,140.238.23.148,KR,Seoul,中转,191 ms,27 Mbps,3550 kB/s
143.47.229.44,443,2a0b:21c0:1007:cb:0:acfd:e6b8:eaf6,DE,Frankfurt,隧道,118 ms,182 Mbps,23347 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,190 ms,74 Mbps,9533 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,108 ms,44 Mbps,5739 kB/s
193.122.107.147,443,193.122.107.147,KR,Seoul,中转,191 ms,8 Mbps,1043 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,138 ms,41 Mbps,5335 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,211 ms,2 Mbps,344 kB/s
152.67.102.137,443,152.67.102.137,AU,Sydney,中转,187 ms,31 Mbps,4060 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,193 ms,36 Mbps,4719 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,166 ms,69 Mbps,8880 kB/s
132.226.7.217,443,132.226.7.217,JP,Tokyo,中转,209 ms,34 Mbps,4479 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,318 ms,35 Mbps,4511 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,198 ms,33 Mbps,4267 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,183 ms,43 Mbps,5559 kB/s
138.2.123.70,443,138.2.123.70,KR,Seoul,中转,252 ms,106 Mbps,13619 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,226 ms,76 Mbps,9751 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,236 ms,28 Mbps,3631 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,138 ms,134 Mbps,17203 kB/s
158.101.216.105,443,2606:f240:f00:2be4:0:fc05:c889:be99,US,Frankfurt,隧道,221 ms,192 Mbps,24576 kB/s
158.101.141.78,443,158.101.141.78,JP,Tokyo,中转,212 ms,37 Mbps,4768 kB/s
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,218 ms,73 Mbps,9413 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,208 ms,2 Mbps,353 kB/s
47.245.116.248,443,8.222.220.238,SG,Singapore,隧道,249 ms,53 Mbps,6841 kB/s
141.147.147.180,443,141.147.147.180,JP,Osaka,中转,205 ms,38 Mbps,4970 kB/s
149.129.8.215,443,47.254.87.121,,colo.txt:San Jose,隧道,0 ms,3 Mbps,409 kB/s
8.219.158.226,443,8.222.207.55,SG,Singapore,隧道,264 ms,49 Mbps,6354 kB/s
141.144.197.111,443,141.144.197.111,NL,Singapore,中转,101 ms,187 Mbps,23961 kB/s
8.212.44.95,443,47.76.21.100,HK,Hong Kong,隧道,210 ms,68 Mbps,8818 kB/s
131.186.60.210,443,2603:c021:8002:900:8479:146e:b870:4762,JP,Tokyo,隧道,213 ms,34 Mbps,4465 kB/s
158.180.89.73,443,2603:c024:e:6666::8888,KR,Seoul,隧道,164 ms,96 Mbps,12390 kB/s
158.101.148.105,443,158.101.148.105,JP,Tokyo,中转,221 ms,42 Mbps,5472 kB/s
8.219.115.82,443,47.236.1.53,SG,Singapore,隧道,249 ms,46 Mbps,5912 kB/s
8.222.251.173,443,8.222.220.238,SG,Singapore,隧道,362 ms,44 Mbps,5655 kB/s
8.213.217.254,443,8.213.217.254,TH,Singapore,中转,240 ms,45 Mbps,5872 kB/s
