中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,63 ms,267 Mbps,34201 kB/s
129.80.116.250,443,2603:c020:4008:16ca:19e9:40f5:b8a0:c008,US,Ashburn,隧道,72 ms,221 Mbps,28364 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,10 ms,751 Mbps,96153 kB/s
152.67.249.123,443,152.67.249.123,US,San Jose,中转,52 ms,164 Mbps,21094 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,50 ms,387 Mbps,49561 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,57 ms,396 Mbps,50790 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,14 ms,840 Mbps,107520 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,51 ms,324 Mbps,41472 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,53 ms,406 Mbps,52019 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,49 ms,425 Mbps,54476 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,109 ms,168 Mbps,21606 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,30 ms,522 Mbps,66867 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,50 ms,370 Mbps,47411 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,52 ms,36 Mbps,4617 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,16 ms,46 Mbps,6007 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,53 ms,300 Mbps,38400 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,21 ms,330 Mbps,42291 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,109 ms,165 Mbps,21196 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,53 ms,381 Mbps,48844 kB/s
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,115 ms,42 Mbps,5437 kB/s
152.70.117.174,443,152.70.117.174,US,San Jose,中转,78 ms,448 Mbps,57344 kB/s
130.61.23.77,443,130.61.23.77,164 Mbps,20992 kB/s
130.61.23.77,,,隧道,0 ms,null Mbps,null kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,147 ms,46 Mbps,5967 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,109 ms,339 Mbps,43417 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,110 ms,196 Mbps,25190 kB/s
144.21.53.157,443,2a09:bac5:3803:ebe::178:1de,GB,London,隧道,147 ms,3 Mbps,405 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,97 ms,54 Mbps,7002 kB/s
47.89.151.17,443,47.89.151.17,US,Ashburn,中转,65 ms,38 Mbps,4933 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,52 ms,25 Mbps,3308 kB/s
130.61.170.78,443,130.61.170.78,DE,Frankfurt,中转,109 ms,80 Mbps,10240 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,101 ms,8 Mbps,1072 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,55 ms,257 Mbps,32972 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,113 ms,184 Mbps,23552 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,125 ms,262 Mbps,33587 kB/s
144.24.80.56,443,2603:c024:8:5677:6f45:947f:3e3a:1eb8,KR,Seoul,隧道,170 ms,63 Mbps,8124 kB/s
47.89.182.61,443,47.251.149.51,US,San Jose,隧道,146 ms,3 Mbps,404 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,123 ms,48 Mbps,6264 kB/s
192.9.158.188,443,2a09:bac1:76a0:1cf0::4:325,US,San Jose,隧道,52 ms,182 Mbps,23347 kB/s
144.22.252.124,443,144.22.252.124,BR,S
