中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,23 ms,952 Mbps,121856 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,55 ms,488 Mbps,62566 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,65 ms,395 Mbps,50585 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,40 ms,59 Mbps,7559 kB/s
35.197.23.75,443,35.212.156.18,US,Seattle,隧道,53 ms,424 Mbps,54272 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,56 ms,399 Mbps,51097 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,51 ms,358 Mbps,45875 kB/s
35.230.79.26,443,35.212.156.18,US,Seattle,隧道,49 ms,500 Mbps,64000 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,32 ms,96 Mbps,12288 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,109 ms,248 Mbps,31744 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,112 ms,186 Mbps,23859 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,26 ms,698 Mbps,89395 kB/s
150.230.44.13,443,150.230.44.13,US,Los Angeles,中转,64 ms,312 Mbps,40038 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,30 ms,786 Mbps,100659 kB/s
47.90.141.204,443,91.149.239.64,US,Los Angeles,隧道,26 ms,42 Mbps,5464 kB/s
34.82.76.253,443,34.168.86.105,US,Seattle,隧道,57 ms,488 Mbps,62464 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Los Angeles,隧道,72 ms,51 Mbps,6624 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,122 ms,216 Mbps,27648 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,60 ms,262 Mbps,33587 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,110 ms,46 Mbps,5888 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,152 ms,209 Mbps,26828 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,128 ms,194 Mbps,24883 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,109 ms,23 Mbps,3033 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,58 ms,50 Mbps,6415 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,175 ms,172 Mbps,22118 kB/s
141.148.241.78,443,2a0b:21c0:1007:1cb:0:53ca:2f50:68c1,DE,Frankfurt,隧道,125 ms,198 Mbps,25395 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,134 ms,49 Mbps,6298 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,125 ms,44 Mbps,5680 kB/s
192.18.134.231,443,192.18.134.231,US,Los Angeles,中转,61 ms,257 Mbps,32972 kB/s
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,55 ms,438 Mbps,56115 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,120 ms,41 Mbps,5344 kB/s
192.9.146.103,443,192.9.146.103,US,Los Angeles,中转,73 ms,412 Mbps,52838 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,111 ms,179 Mbps,22937 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,112 ms,89 Mbps,11468 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,110 ms,43 Mbps,5568 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,108 ms,46 Mbps,5961 kB/s
168.138.220.199,443,2607:a400:a:16b:0:6d41:de1a:a2d4,US,Los Angeles,隧道,183 ms,100 Mbps,12800 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,128 ms,39 Mbps,5085 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,179 ms,83 Mbps,10649 kB/s
143.47.185.70,443,2a0b:21c0:100a:1b4:0:6c22:f57c:6aea,DE,Frankfurt,隧道,131 ms,165 Mbps,21196 kB/s
168.138.149.17,443,168.138.149.17,BR,S
