中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Las Vegas,隧道,31 ms,59 Mbps,7649 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,19 ms,423 Mbps,54169 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,67 ms,452 Mbps,57958 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,21 ms,856 Mbps,109568 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,27 ms,144 Mbps,18534 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,17 ms,1144 Mbps,146432 kB/s
192.18.134.231,443,192.18.134.231,US,San Jose,中转,19 ms,344 Mbps,44134 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,81 ms,362 Mbps,46387 kB/s
35.197.23.75,443,35.212.215.237,US,Seattle,隧道,74 ms,616 Mbps,78848 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,45 ms,589 Mbps,75468 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,40 ms,632 Mbps,80896 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,71 ms,394 Mbps,50483 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,19 ms,682 Mbps,87347 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,24 ms,56 Mbps,7236 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,139 ms,86 Mbps,11059 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,134 ms,41 Mbps,5285 kB/s
35.230.79.26,443,35.212.215.237,US,Seattle,隧道,56 ms,614 Mbps,78643 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,74 ms,566 Mbps,72499 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,61 ms,52 Mbps,6701 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,144 ms,135 Mbps,17305 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,60 ms,23 Mbps,2985 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,123 ms,243 Mbps,31129 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,143 ms,140 Mbps,18022 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,159 ms,126 Mbps,16179 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,151 ms,47 Mbps,6135 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,145 ms,182 Mbps,23347 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,151 ms,200 Mbps,25600 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,152 ms,201 Mbps,25804 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,117 ms,172 Mbps,22016 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,188 ms,3 Mbps,411 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Hong Kong,隧道,144 ms,130 Mbps,16691 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,138 ms,44 Mbps,5680 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,170 ms,0 Mbps,127 kB/s
130.162.144.191,443,2a09:bac5:4732:2646::3d0:21,KR,Hong Kong,隧道,154 ms,38 Mbps,4952 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,153 ms,40 Mbps,5205 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,174 ms,39 Mbps,5095 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,201 ms,65 Mbps,8440 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,170 ms,106 Mbps,13619 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,168 ms,34 Mbps,4447 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,156 ms,125 Mbps,16076 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,173 ms,3 Mbps,483 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,161 ms,128 Mbps,16486 kB/s
131.186.17.132,443,131.186.17.132,KR,Hong Kong,中转,163 ms,39 Mbps,5118 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,155 ms,40 Mbps,5226 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,166 ms,41 Mbps,5251 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,199 ms,100 Mbps,12902 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,158 ms,37 Mbps,4765 kB/s
152.70.71.23,443,152.70.71.23,IN,Singapore,中转,259 ms,28 Mbps,3670 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,217 ms,35 Mbps,4525 kB/s
129.154.207.203,443,2a09:bac1:3f00::3d0:5b,KR,Hong Kong,隧道,171 ms,140 Mbps,18022 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,179 ms,45 Mbps,5792 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,203 ms,27 Mbps,3523 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,197 ms,5 Mbps,673 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,253 ms,56 Mbps,7210 kB/s
146.56.137.229,443,2602:ffe4:407:20da:0:1c51:2e08:f5b5,SG,Singapore,隧道,276 ms,52 Mbps,6767 kB/s
129.151.148.35,443,129.151.148.35,AE,Hong Kong,中转,261 ms,26 Mbps,3363 kB/s
47.57.233.126,443,47.89.252.205,US,San Jose,隧道,180 ms,0 Mbps,49 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,332 ms,0 Mbps,18 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,157 ms,0 Mbps,7 kB/s
146.56.162.25,443,146.56.162.25,KR,Hong Kong,中转,134 ms,27 Mbps,3569 kB/s
193.123.80.245,443,193.123.80.245,AE,Amsterdam,中转,244 ms,6 Mbps,813 kB/s
